Mot;Occurrence;Mot_nettoye;Cluster
rassembler;14;rassembler;0
courage;23;courage;0
voudrais;85;vouloir;0
apprennent;7;apprendre;0
enterrement;41;enterrement;0
paierais;4;payer;0
cher;34;cher;0
haut;133;haut;0
ressemble;134;ressembl;0
arme;488;arme;0
fragments;117;fragment;0
ressemblent;17;ressemblent;0
carton;10;carton;0
mouillé;3;mouiller;0
presque;123;presque;0
traumatisme;34;traumatisme;0
objet;79;objet;0
contondant;18;contonder;0
grossièrement;2;grossièrement;0
v;13;v;0
coin;68;coin;0
2x4;2;;0
petites;61;petit;0
taches;29;tache;0
sang;430;sang;0
impact;42;impact;0
coup;329;coup;0
fatal;28;fatal;0
tremper;3;tremper;0
solution;27;solution;0
alcaline;2;alcalin;0
quelle;241;;0
belle;97;bel;0
journée;50;journée;0
isolé;13;isolé;0
éléments;25;élément;0
hydroxide;4;hydroxid;0
sodium;16;sodium;0
calcium;33;calcium;0
hydrochlorique;5;hydrochlorique;0
disponibles;4;disponible;0
supermarché;7;supermarché;0
chance;177;chance;0
explosé;27;exploser;0
dents;154;dent;0
petits;97;petit;0
tessons;3;tesson;0
cuivre;39;cuivre;0
présentes;8;présent;0
installation;5;installation;0
anneau;7;anneau;0
mariage;117;mariage;0
or;167;;0
tressé;2;tresser;0
platine;4;platine;0
sûrement;229;sûrement;0
préservé;7;préservé;0
métal;56;métal;0
différent;50;;0
femme;638;femme;0
foyer;26;foyer;0
désespérée;4;désespérer;0
semblant;24;semblant;0
observer;25;observer;0
bienséance;2;bienséanc;0
empêcher;43;empêcher;0
jerry;5;jerry;0
springer;2;springer;0
abord;76;;0
jongler;5;jongler;0
épouses;12;épouse;0
moyens;30;moyen;0
faut;386;falloir;0
pied;68;pied;0
lettre;52;lettre;0
scalpel;5;scalpel;0
dissout;3;dissoudre;0
grosse;52;gros;0
aller;432;aller;0
enfer;36;enfer;0
garde;106;garde;0
place;159;place;0
gentil;72;gentil;0
hum;58;hum;0
ferait;82;faire;0
pareille;10;pareil;0
croire;173;croire;0
vus;18;voir;0
hier;71;hier;0
pute;25;pute;0
reverrai;2;reverrai;0
avouer;13;avouer;0
désagréable;6;désagréable;0
mec;263;mec;0
sait;290;;0
gens;517;;0
enfin;128;;0
savait;136;savoir;0
aimais;56;aimai;0
devienne;15;devenir;0
fiable;9;fiable;0
avancé;10;avancer;0
plaques;25;plaque;0
équipements;8;équipement;0
électriques;12;électrique;0
dernière;238;dernier;0
inspectrice;2;inspecteur;0
amende;9;amende;0
défaut;13;défaut;0
matériel;26;matériel;0
disjoncteurs;3;disjoncteur;0
mauvaise;67;mauvais;0
qualité;19;qualité;0
gfi;2;gfi;0
insuffisants;2;insuffisant;0
passées;9;passer;0
montrez;30;montrer;0
obtiens;7;obtien;0
histoires;16;histoire;0
larmoyantes;2;larmoyante;0
malheureux;7;malheureux;0
ménage;12;ménage;0
rendez;107;rendez;0
compte;141;compte;0
mobile;96;mobile;0
avocat;146;avocat;0
furax;4;furax;0
crève;3;crève;0
référé;2;référer;0
code;71;code;0
entrepreneurs;7;entrepreneur;0
obtenir;86;obtenir;0
exact;139;exact;0
limité;8;limité;0
aux;648;;0
auriez;108;avoir;0
paperasserie;5;paperasserie;0
pense;595;;0
tombé;60;tomber;0
anomalie;21;anomalie;0
saroyan;97;saroyan;0
radius;24;radius;0
fendu;9;fendre;0
ivoire;3;ivoir;0
petit;384;petit;0
éléphant;7;élépher;0
espérais;25;espérer;0
sauriez;12;savoir;0
regardez;406;regarder;2
entailles;26;entaille;0
marques;181;marque;0
crayon;6;crayon;0
